battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,Price_Range
1945,0,0.5,1,1,1,20,0.8,172,8,10,678,1676,3465,16,11,6,1,1,0,Above 15K
1175,1,2.3,0,8,1,27,0.9,153,7,12,1619,1651,3900,18,16,2,1,0,1,Above 15K
628,0,1.8,0,1,0,12,0.2,123,1,11,935,1147,1105,7,6,19,0,1,1,Less Than INR 5K
1603,0,2.2,0,1,1,39,0.2,84,1,5,864,1011,2064,13,7,6,1,0,0,INR 5K - 10K
1734,1,1.8,1,1,1,13,0.7,131,1,4,1495,1688,3117,19,6,9,1,0,1,Above 15K
587,0,1.5,0,13,1,7,0.7,96,3,18,870,1613,1142,13,9,8,1,0,1,INR 5K - 10K
1529,0,1,1,3,1,4,0.3,111,1,4,1379,1469,1060,12,10,4,1,1,1,INR 5K - 10K
876,1,0.8,0,4,1,19,0.9,143,2,5,1055,1738,2381,14,1,5,1,0,0,INR 10K - 15K
1603,0,0.6,1,1,1,54,0.4,134,3,2,220,1838,3366,7,3,11,1,0,1,Above 15K
1427,0,2.9,0,7,0,42,0.9,126,6,17,419,1261,1339,17,0,14,0,0,1,Less Than INR 5K
1371,1,1.8,1,0,1,31,0.8,87,4,10,1111,1362,2560,7,3,8,1,0,0,Above 15K
610,0,0.7,1,1,1,25,0.8,91,2,8,1097,1461,285,19,7,3,1,0,1,Less Than INR 5K
841,1,1.6,1,3,1,12,0.2,131,7,17,447,819,2476,17,1,10,1,0,0,INR 5K - 10K
992,0,2.7,0,4,1,46,0.6,118,1,5,273,1062,1862,16,9,2,1,0,1,INR 5K - 10K
1725,1,1.5,1,4,1,6,0.9,170,1,15,590,997,3488,6,4,10,1,1,1,Above 15K
585,0,1.4,1,10,1,8,0.5,142,8,14,116,598,3178,9,7,10,1,0,1,INR 10K - 15K
861,0,2.4,0,2,0,37,0.2,156,8,3,306,564,733,15,0,14,1,1,0,Less Than INR 5K
1542,0,0.7,0,2,0,23,0.1,110,7,7,300,1316,756,14,5,6,0,0,0,Less Than INR 5K
616,0,0.6,0,12,0,58,0.4,170,1,13,1259,1746,3622,17,2,17,0,1,1,Above 15K
913,0,1.6,0,4,1,12,0.7,174,5,16,1573,1694,1277,14,9,5,1,0,0,INR 5K - 10K
1279,0,1.4,0,5,1,6,0.2,158,6,8,1392,1783,3703,13,10,11,1,1,0,Above 15K
1366,1,0.5,0,4,1,10,0.1,81,6,6,113,1524,1905,16,3,18,1,1,1,INR 5K - 10K
1703,0,1.2,1,5,1,15,0.3,178,6,8,526,1728,2636,12,2,6,1,1,0,INR 10K - 15K
590,0,2,0,2,1,12,0.3,158,5,6,1209,1678,2014,11,9,10,1,0,0,INR 10K - 15K
1348,1,1.8,0,0,1,9,0.8,100,2,1,655,828,3056,18,16,6,1,0,0,Above 15K
1645,1,1.8,0,0,1,19,0.3,168,3,0,1123,1622,465,12,8,4,1,1,0,Less Than INR 5K
957,1,1.3,1,1,1,49,0.7,141,6,13,692,979,3869,16,14,20,1,1,1,Above 15K
1090,1,2.8,1,10,1,28,0.2,165,5,15,796,1052,1108,12,1,7,1,0,1,INR 5K - 10K
872,1,0.5,1,7,0,58,0.5,130,5,8,1021,1958,1906,14,5,5,1,0,0,INR 5K - 10K
665,1,2.8,1,6,1,46,0.4,84,4,11,995,1310,851,8,4,4,1,1,1,Less Than INR 5K
1875,1,1.2,0,10,1,60,0.6,172,7,14,1244,1504,3142,11,4,19,1,0,1,Above 15K
1929,0,0.6,0,0,1,31,0.3,125,4,0,293,970,1300,14,7,13,1,0,1,Less Than INR 5K
889,0,1,0,7,0,36,0.1,177,5,9,1240,1931,1430,8,6,10,0,0,0,INR 10K - 15K
1078,1,0.5,0,1,1,59,0.7,146,8,4,759,1858,362,16,10,6,1,1,1,Less Than INR 5K
1024,0,1.5,1,10,0,56,0.3,95,1,19,398,1528,2456,13,0,13,1,1,1,INR 10K - 15K
1427,0,2.8,0,0,1,44,1,137,8,0,358,791,2360,7,4,19,1,0,0,INR 10K - 15K
832,0,1.9,1,1,0,42,0.1,133,7,11,403,1614,3700,10,0,7,1,1,0,Above 15K
1497,0,1.4,1,10,0,2,0.1,153,7,20,211,1409,2620,7,5,13,1,0,0,INR 10K - 15K
1434,0,0.6,0,2,0,52,0.1,178,3,3,194,1437,437,14,7,17,1,0,0,Less Than INR 5K
1096,0,1.5,0,5,1,6,0.9,164,2,19,1076,1472,3774,11,5,18,1,0,0,Above 15K
644,1,0.6,0,1,0,19,0.8,192,2,9,1238,1418,1218,15,10,17,0,1,0,INR 5K - 10K
1143,0,2.6,0,5,0,5,0.8,162,5,16,229,1004,696,14,12,15,1,1,1,Less Than INR 5K
731,0,2.6,1,2,1,33,0.4,198,2,17,327,1683,3407,12,1,20,1,0,0,Above 15K
1902,1,1.7,1,1,0,58,0.8,86,7,13,135,1892,3902,9,3,3,1,0,0,Above 15K
1511,1,2.3,1,5,1,30,0.2,80,8,7,5,1744,2086,10,0,19,1,1,1,INR 5K - 10K
1925,1,0.8,0,2,1,42,0.6,84,3,10,715,1163,1356,15,9,16,1,0,1,INR 5K - 10K
1826,0,1.7,1,7,1,26,0.7,177,5,11,511,621,1704,6,5,20,1,1,1,Less Than INR 5K
1276,1,1.3,1,0,1,6,0.5,85,3,9,549,1383,3571,16,1,11,1,1,1,Above 15K
988,1,2.3,0,2,1,5,0.1,129,5,11,420,784,2132,18,15,19,1,0,1,INR 5K - 10K
1539,1,2.6,1,0,1,44,0.7,103,4,5,838,1066,3209,13,11,8,1,1,1,Above 15K
1966,1,0.7,1,3,1,23,0.8,156,1,9,314,1400,2096,13,6,2,1,0,0,INR 5K - 10K
809,1,1.1,0,0,1,6,0.5,198,4,0,739,1766,1273,19,0,6,1,0,0,INR 5K - 10K
713,1,0.5,1,3,1,27,0.1,112,5,10,62,846,3623,9,4,15,1,1,0,INR 10K - 15K
1508,1,0.5,0,5,1,41,0.6,131,2,17,3,1662,368,5,1,12,1,0,0,Less Than INR 5K
913,0,0.6,1,1,0,32,0.7,135,3,8,963,1520,854,8,2,10,1,0,1,INR 5K - 10K
770,0,2.6,0,0,1,59,0.9,136,6,0,1438,1923,3646,10,9,16,1,0,1,Above 15K
949,0,1.1,1,13,1,17,0.1,157,4,18,1621,1773,3130,12,4,2,1,0,1,Above 15K
508,1,0.5,1,3,1,5,0.2,152,1,9,19,501,3784,13,4,4,1,1,0,Above 15K
1385,1,2.3,0,9,0,17,0.8,124,7,17,887,1274,3885,11,0,14,1,1,0,Above 15K
1767,1,2.3,0,6,1,13,0.2,121,7,7,567,986,1494,18,10,12,1,1,1,INR 5K - 10K
1408,1,0.5,0,4,1,29,0.5,149,5,13,584,676,2973,11,1,20,1,1,1,Above 15K
615,0,1.9,0,7,0,20,0.8,185,6,14,496,974,1471,13,4,11,0,1,0,Less Than INR 5K
1973,0,0.5,0,6,0,27,0.5,86,2,11,1245,1309,2001,11,10,12,1,1,1,INR 5K - 10K
1040,1,0.9,1,0,1,42,0.4,123,5,0,682,888,1486,15,3,19,1,0,0,INR 5K - 10K
512,0,,0,3,0,47,0.9,182,3,6,724,794,1321,7,2,6,0,1,1,Less Than INR 5K
1812,1,1.2,0,2,0,17,0.1,95,8,4,1384,1454,1877,18,2,11,0,0,1,INR 5K - 10K
1160,0,2.3,0,14,0,22,0.1,173,5,20,257,1654,3499,11,7,19,1,1,1,Above 15K
1849,1,1.9,1,0,1,39,0.7,142,1,0,17,1084,2124,6,0,12,1,1,0,INR 5K - 10K
1989,1,2.8,1,15,0,60,0.1,82,3,18,983,1210,1221,18,12,15,1,0,1,INR 5K - 10K
1470,1,1.3,0,1,0,29,0.5,194,8,20,439,1306,2316,19,2,6,0,0,1,INR 10K - 15K
1424,0,1.8,1,5,1,16,0.2,170,4,6,925,1206,1068,6,0,8,1,1,0,INR 5K - 10K
1975,0,2.9,1,3,1,24,0.2,94,4,7,409,603,1930,13,12,4,1,0,1,INR 5K - 10K
836,0,2.9,0,9,0,14,0.4,196,7,18,293,952,1316,8,1,8,1,1,0,INR 5K - 10K
1430,0,0.5,1,8,0,47,0.2,130,8,9,384,1878,1742,18,12,15,1,0,0,INR 5K - 10K
948,1,3,1,5,1,34,0.9,125,8,13,149,1285,3265,14,7,14,1,0,0,INR 10K - 15K
1447,1,2.5,0,4,1,5,0.6,98,4,16,447,568,2700,13,7,8,1,1,1,INR 10K - 15K
1333,0,1.5,0,3,0,36,0.4,104,4,8,717,1206,2115,8,7,18,0,0,0,INR 10K - 15K
1499,0,1.3,1,7,0,12,0.1,178,2,19,195,533,3915,9,7,8,0,0,1,Above 15K
1577,1,0.5,0,0,1,16,0.1,94,8,1,153,696,3144,16,2,14,1,0,0,Above 15K
1399,0,0.5,0,3,1,58,0.5,150,7,8,1699,1850,1571,17,16,2,1,0,0,INR 10K - 15K
1886,0,0.6,0,12,0,44,0.8,131,5,13,501,640,2253,10,8,9,0,0,0,INR 5K - 10K
799,0,0.5,1,9,0,10,0.8,145,6,12,530,1496,1433,6,1,17,0,0,0,INR 5K - 10K
1437,0,0.8,1,2,1,42,0.8,128,5,18,396,1378,2583,15,2,13,1,1,1,INR 10K - 15K
1999,0,0.6,0,8,0,42,0.9,151,5,9,670,1552,1817,6,1,16,1,0,0,INR 5K - 10K
1322,1,0.5,0,1,1,51,0.1,144,2,15,193,887,2915,17,1,6,1,1,1,INR 10K - 15K
1022,1,2.8,1,0,1,18,0.3,178,8,1,351,1769,3340,8,0,16,1,1,1,Above 15K
1340,0,1.3,1,5,1,7,0.8,168,7,19,846,855,2790,19,11,10,1,1,0,INR 10K - 15K
1211,1,1.2,1,0,1,14,0.1,191,4,1,111,1167,577,14,12,12,1,1,0,Less Than INR 5K
1950,1,0.9,1,0,1,14,0.4,173,2,4,1213,1386,3220,17,2,6,1,1,0,Above 15K
883,0,1.6,1,8,1,26,0.8,150,1,12,755,1284,3488,14,3,11,1,1,0,Above 15K
1550,0,2.4,1,12,1,14,0.6,92,4,15,1406,1517,1277,9,6,16,1,0,1,INR 5K - 10K
1992,1,0.5,1,7,0,2,0.8,148,2,15,497,627,3593,14,9,3,0,1,0,INR 10K - 15K
797,0,2.5,1,0,1,42,0.9,124,8,1,1826,1836,2736,12,5,19,1,1,0,Above 15K
1013,1,1.2,0,8,0,31,0.6,196,8,19,50,1356,2311,17,9,18,1,1,0,INR 10K - 15K
1319,1,1.3,0,0,1,63,0.4,109,8,9,817,941,1464,7,6,16,1,1,1,INR 5K - 10K
1709,0,1.3,0,7,0,9,0.7,192,2,12,901,1793,1355,6,1,14,1,1,0,INR 5K - 10K
599,1,2.3,1,0,0,40,0.1,123,2,1,212,1269,2382,6,4,7,1,0,1,INR 10K - 15K
542,1,1.6,1,9,0,57,0.5,111,4,20,329,1039,1886,16,0,17,1,0,1,INR 5K - 10K
819,1,0.5,1,2,1,31,0.1,145,5,9,837,1182,832,7,3,19,1,0,0,INR 5K - 10K
1415,0,0.7,1,9,1,28,0.2,151,6,16,248,884,751,19,11,8,1,0,1,Less Than INR 5K
602,1,1.5,1,0,1,27,0.4,113,5,7,632,1162,436,10,8,11,1,0,0,Less Than INR 5K
562,0,2.2,1,1,1,42,0.7,82,1,13,366,613,722,6,5,10,1,1,0,Less Than INR 5K
1617,0,0.5,0,2,0,12,0.5,114,1,8,174,518,1075,7,3,2,0,1,0,Less Than INR 5K
1264,0,0.5,1,4,0,39,0.1,161,4,6,882,1195,2802,8,0,10,1,1,0,INR 10K - 15K
1605,0,1.9,1,0,1,11,0.8,188,2,15,688,1591,1780,12,10,2,1,0,0,INR 5K - 10K
540,0,0.8,0,8,1,14,0.9,197,4,16,263,1345,1247,19,16,16,1,0,0,INR 5K - 10K
1072,1,0.8,1,8,1,62,0.1,117,8,9,118,764,3066,11,2,19,1,1,0,INR 10K - 15K
827,1,2.3,0,4,0,51,0.4,200,8,17,1012,1226,403,11,2,12,0,0,0,Less Than INR 5K
772,0,0.5,1,2,1,23,0.2,192,5,17,586,1552,2518,19,12,3,1,1,0,INR 10K - 15K
1812,0,0.5,0,0,1,15,0.8,168,2,0,294,1233,1069,18,6,14,1,0,0,Less Than INR 5K
1843,1,1.7,1,3,1,6,0.8,169,4,11,818,1827,2651,14,8,9,1,0,1,INR 10K - 15K
1421,1,2.8,1,2,1,40,0.1,99,7,6,426,865,2974,15,12,19,1,0,1,INR 10K - 15K
1764,1,2.3,1,3,0,52,0.1,100,5,8,151,1133,657,7,3,2,1,1,0,Less Than INR 5K
1164,1,1.4,1,1,1,32,0.4,103,2,2,409,644,3372,18,13,10,1,1,0,Above 15K
1806,1,1.9,1,0,1,63,0.6,93,5,2,641,1156,1464,15,9,20,1,1,0,INR 5K - 10K
611,0,2,1,1,0,24,0.5,86,4,2,958,967,1326,7,4,3,1,1,0,Less Than INR 5K
1534,0,2.6,0,0,0,49,0.3,199,4,5,1328,1970,3393,6,5,7,1,0,0,Above 15K
1925,0,0.5,1,0,1,57,0.5,135,2,0,354,530,323,17,3,7,1,0,1,Less Than INR 5K
1802,0,2.9,0,2,0,62,0.7,106,1,8,1709,1781,1628,9,3,6,0,1,0,INR 5K - 10K
1727,0,2.9,0,0,0,33,0.2,132,8,2,1099,1553,2610,8,3,13,1,1,0,Above 15K
795,1,2.2,1,7,0,56,0.4,179,4,10,783,1227,3721,16,11,4,0,1,1,Above 15K
1687,0,2.8,1,1,0,50,0.1,100,8,8,194,1393,763,17,1,17,0,1,1,Less Than INR 5K
1445,0,0.5,1,12,0,10,0.2,184,3,19,238,1893,792,17,12,13,1,0,1,Less Than INR 5K
1005,1,1.9,0,6,0,2,0.9,133,5,20,919,1076,1568,14,0,19,1,0,0,INR 5K - 10K
1243,1,0.5,0,0,0,29,0.2,182,4,2,758,891,1276,19,4,17,0,1,0,INR 5K - 10K
540,1,1.6,1,9,0,52,0.4,90,4,19,1039,1273,3472,10,4,12,1,1,1,Above 15K
718,1,1.1,1,18,1,17,0.3,160,4,20,1054,1393,2520,8,2,11,1,0,1,INR 10K - 15K
1541,0,0.5,0,3,1,63,0.3,111,2,10,122,686,3423,13,3,19,1,0,0,Above 15K
673,0,0.5,1,6,0,52,0.9,120,6,10,100,1708,258,14,8,9,1,0,0,Less Than INR 5K
1326,1,1.9,0,1,1,42,0.6,106,5,3,1221,1804,1868,16,7,6,1,0,0,INR 10K - 15K
951,0,2.5,1,15,0,14,0.6,197,3,19,312,1376,2171,19,8,18,0,0,1,INR 5K - 10K
949,1,0.5,1,4,0,28,0.8,182,5,8,599,1073,780,11,10,5,0,0,0,Less Than INR 5K
1329,1,2.1,1,0,0,6,0.9,103,1,1,1274,1340,712,17,5,10,0,0,0,Less Than INR 5K
1448,0,1.6,1,0,1,30,1,160,8,1,62,581,1012,7,4,13,1,1,1,Less Than INR 5K
1974,1,2.4,0,8,0,28,0.2,166,4,9,315,1796,318,11,10,19,1,0,0,Less Than INR 5K
1732,0,1.5,0,6,1,26,0.2,137,6,8,1123,1709,3948,18,11,15,1,1,1,Above 15K
1618,0,1.1,1,2,1,14,0.1,99,8,6,1878,1981,629,16,15,20,1,0,0,Less Than INR 5K
1792,0,0.7,1,0,1,29,0.1,157,7,1,318,831,1161,11,8,5,1,0,0,Less Than INR 5K
852,0,0.5,0,7,1,35,0.1,99,8,17,574,1267,1403,16,7,6,1,0,0,Less Than INR 5K
857,1,0.5,0,0,1,13,1,133,4,8,1353,1915,3707,19,3,18,1,1,0,Above 15K
715,0,0.5,0,6,1,55,0.1,124,8,7,86,1681,1305,6,5,4,1,0,1,Less Than INR 5K
952,0,1.5,1,6,0,18,0.3,119,4,7,340,1728,2926,17,13,9,1,1,1,INR 10K - 15K
1304,1,0.5,0,5,1,27,0.3,144,3,18,602,1156,2674,7,2,5,1,0,1,INR 10K - 15K
1551,0,0.5,0,3,0,40,0.7,184,2,5,963,1062,471,8,4,20,0,0,1,Less Than INR 5K
1760,1,0.5,1,3,0,21,0.8,95,8,7,127,507,1724,12,10,8,0,0,1,INR 5K - 10K
1449,1,2.3,1,18,0,60,0.5,171,4,20,142,1039,1220,9,3,20,0,1,0,INR 5K - 10K
1988,0,1.5,0,1,1,63,0.7,111,2,10,274,1079,2754,19,10,8,1,1,1,INR 10K - 15K
909,1,0.5,1,1,1,33,0.5,110,5,4,371,682,594,17,8,16,1,0,1,Less Than INR 5K
821,0,2.3,1,7,1,54,1,101,2,9,788,1007,1005,12,2,14,1,0,1,Less Than INR 5K
905,0,1.9,1,0,1,14,0.6,115,1,7,395,1027,2439,6,3,12,1,1,1,INR 5K - 10K
668,1,0.5,0,1,0,30,0.3,145,4,2,643,1527,2302,12,10,10,0,1,1,INR 5K - 10K
1110,0,0.5,0,6,1,15,0.6,81,2,17,854,935,1083,16,11,16,1,1,0,Less Than INR 5K
1334,1,2.1,0,6,1,10,0.4,109,8,15,1335,1873,2219,9,3,15,1,1,1,INR 10K - 15K
1353,1,2.7,0,2,0,32,0.1,126,7,5,1541,1619,1571,12,3,14,0,0,0,INR 10K - 15K
1601,1,1.4,0,10,1,15,0.4,101,4,13,382,1163,2107,18,5,16,1,1,0,INR 10K - 15K
1455,0,0.5,1,18,0,2,0.2,100,5,19,846,1144,593,9,4,18,1,1,1,Less Than INR 5K
1490,1,1.9,0,0,0,50,0.7,119,8,18,960,1925,857,12,4,6,1,1,0,INR 5K - 10K
1824,0,2.1,0,1,0,44,0.6,95,5,2,154,941,3518,16,12,7,1,1,1,Above 15K
1582,0,0.5,1,2,0,58,0.3,160,4,4,468,694,1284,17,7,17,0,0,1,Less Than INR 5K
1673,0,2.7,1,4,0,19,0.6,147,6,7,1094,1496,545,19,18,16,0,0,0,Less Than INR 5K
1284,0,1.3,1,4,1,6,0.1,149,6,10,272,870,3566,9,5,12,1,0,1,INR 10K - 15K
631,0,2.1,0,1,0,34,0.1,173,1,4,165,1103,2821,13,5,17,1,0,1,INR 10K - 15K
660,0,1.4,0,3,1,59,0.7,183,7,5,394,1301,3442,18,16,5,1,1,0,Above 15K
1812,0,2.4,0,5,1,6,0.9,92,6,9,629,1299,1309,12,1,14,1,0,0,INR 5K - 10K
689,0,2.5,1,1,0,19,0.6,88,6,9,831,1713,1179,10,3,18,0,0,1,INR 5K - 10K
515,0,1.4,1,8,0,37,0.8,80,8,20,903,910,1713,16,0,19,0,0,0,INR 5K - 10K
1934,0,2.1,1,0,0,9,0.4,169,3,1,923,1759,1663,9,3,14,1,0,1,INR 5K - 10K
916,0,2.8,1,11,0,10,0.6,81,8,19,362,1250,1812,5,0,19,1,1,1,INR 10K - 15K
1007,1,1,0,9,0,41,0.4,172,4,19,693,850,1384,19,9,2,0,1,1,INR 5K - 10K
1135,1,1.7,1,1,1,44,0.5,172,8,4,1250,1435,1348,11,6,7,1,1,1,INR 5K - 10K
600,1,0.7,1,0,1,27,0.2,80,4,6,1135,1923,3957,17,15,6,1,0,0,Above 15K
974,0,2,0,9,1,14,0.5,180,8,13,66,1448,1212,12,8,12,1,0,0,Less Than INR 5K
1181,0,2.2,0,0,1,24,0.7,151,8,2,924,1877,3925,8,1,10,1,1,1,Above 15K
1238,1,0.5,1,0,0,32,1,115,6,0,204,1132,348,17,11,18,1,0,1,Less Than INR 5K
660,1,2.5,0,9,0,40,0.2,109,5,20,376,1957,1382,12,7,8,0,1,0,INR 5K - 10K
1143,1,2.9,1,5,0,18,0.7,141,2,8,1083,1492,980,13,7,16,0,0,1,Less Than INR 5K
1003,0,2.8,1,1,0,16,0.5,154,3,9,229,1473,838,14,2,18,0,1,0,Less Than INR 5K
1393,0,2,0,8,1,31,0.3,91,3,20,875,1316,378,11,6,9,1,1,0,Less Than INR 5K
603,0,2.2,1,4,1,22,0.8,135,4,8,35,991,909,18,4,7,1,0,1,Less Than INR 5K
1250,1,0.9,0,2,1,13,0.4,92,4,19,18,903,3632,17,8,19,1,1,0,Above 15K
532,1,2.9,0,0,1,64,0.3,186,8,1,103,646,3396,5,3,7,1,0,0,INR 10K - 15K
1451,0,0.5,1,5,0,53,0.5,196,5,7,105,588,1861,13,10,16,0,1,0,INR 5K - 10K
1343,1,2.5,0,0,1,27,0.1,90,6,1,168,540,348,7,5,19,1,1,1,Less Than INR 5K
833,1,2.5,0,7,0,13,0.8,98,4,12,18,1004,2528,11,8,16,0,0,0,INR 10K - 15K
868,0,0.5,1,7,1,5,0.3,169,8,10,659,730,2190,16,10,16,1,1,0,INR 5K - 10K
1405,1,1.4,1,6,0,6,0.7,190,8,8,534,855,663,12,4,5,0,1,1,Less Than INR 5K
841,0,2.7,1,16,1,11,0.4,185,6,18,285,512,961,10,7,19,1,0,1,Less Than INR 5K
1369,0,2.5,0,0,1,44,0.7,113,4,2,482,1098,1280,8,1,16,1,0,1,INR 5K - 10K
1928,0,0.9,0,9,0,50,0.9,141,8,18,1571,1717,2189,7,5,16,0,1,0,INR 10K - 15K
1715,1,0.5,0,3,1,55,0.8,140,3,8,605,1193,531,18,10,13,1,1,1,Less Than INR 5K
1202,1,0.5,1,0,1,12,0.5,121,4,3,158,1657,2331,18,12,20,1,0,1,INR 5K - 10K
1797,0,2.1,0,1,0,31,0.6,114,5,4,1573,1639,794,11,5,9,0,1,1,INR 5K - 10K
1148,0,2.8,0,1,0,50,0.1,173,1,8,127,620,2644,7,2,11,0,1,1,INR 10K - 15K
777,1,0.5,0,5,1,22,0.6,198,1,8,343,1431,1666,15,4,20,1,1,1,INR 5K - 10K
511,1,1.5,0,0,1,57,0.1,159,4,0,289,724,2157,8,6,18,1,0,0,INR 5K - 10K
1046,0,2.1,0,16,0,44,0.9,151,1,20,1703,1880,1196,10,6,5,0,0,1,INR 5K - 10K
1498,0,0.9,1,6,0,33,0.7,150,6,7,1482,1591,2072,10,8,19,0,1,0,INR 10K - 15K
1426,0,0.5,0,10,1,42,0.2,91,1,20,907,925,1590,12,0,14,1,0,0,INR 5K - 10K
727,0,0.9,1,3,0,11,0.4,190,8,12,491,1506,2916,16,11,18,0,1,1,Above 15K
1577,0,0.5,1,7,0,31,0.4,120,2,10,287,627,3707,5,1,19,0,0,1,Above 15K
715,1,0.5,0,1,1,10,0.4,198,6,5,1151,1723,726,11,4,3,1,1,0,Less Than INR 5K
1596,1,2.3,0,4,0,44,0.9,184,2,11,1024,1363,3577,17,7,4,1,1,0,Above 15K
542,0,0.8,1,11,0,28,0.7,158,6,13,1085,1134,2627,18,3,15,1,0,1,INR 10K - 15K
1618,1,1.7,0,0,1,20,1,146,4,9,991,1803,685,15,11,7,1,1,1,Less Than INR 5K
1155,0,2.6,0,0,0,33,0.1,110,6,10,1052,1897,1693,6,2,5,0,1,0,INR 5K - 10K
1639,1,1.2,1,3,1,40,0.1,175,6,7,1078,1564,2137,11,8,12,1,0,1,INR 10K - 15K
1151,1,0.9,1,4,1,10,0.1,153,8,20,98,977,3696,9,0,3,1,0,1,Above 15K
1255,1,,0,0,1,33,0.5,89,3,2,396,1648,3771,10,3,9,1,0,1,Above 15K
1807,0,2.2,0,0,1,40,0.8,94,4,20,323,978,1342,16,11,4,1,1,1,Less Than INR 5K
604,1,2,0,0,1,20,0.6,148,3,0,410,1551,1379,17,1,16,1,0,1,INR 5K - 10K
1835,1,2.1,1,5,1,11,0.1,197,3,6,1750,1857,1164,15,12,19,1,1,0,INR 5K - 10K
521,0,1.9,1,1,0,63,0.9,88,1,20,1475,1988,908,18,13,6,0,0,1,INR 5K - 10K
566,0,1,0,0,1,10,0.4,127,4,0,1836,1873,1019,19,9,15,1,1,0,INR 5K - 10K
1690,1,2.6,0,14,0,29,0.9,113,6,20,283,676,3685,13,1,18,0,0,0,Above 15K
743,0,1.1,1,2,1,5,0.2,98,1,13,539,1240,1470,12,0,12,1,0,0,INR 5K - 10K
1144,0,1,0,6,0,2,0.2,189,1,11,440,563,2299,19,9,9,1,1,1,INR 10K - 15K
762,1,2.7,0,0,0,39,0.4,151,8,1,397,800,999,6,2,11,1,1,0,Less Than INR 5K
960,1,2.3,0,0,1,44,0.2,149,1,10,204,1021,3011,7,4,12,1,1,0,INR 10K - 15K
773,1,2,1,2,1,54,0.1,117,1,11,347,727,3142,13,0,6,1,0,1,Above 15K
1016,0,1.5,0,8,0,12,0.7,114,6,20,1003,1284,1543,7,5,19,1,1,0,INR 5K - 10K
1825,0,2.1,0,7,1,40,0.1,99,4,11,0,1987,3692,13,0,16,1,1,0,Above 15K
1131,0,2.3,0,0,1,31,0.8,145,6,14,264,519,2753,13,7,17,1,0,1,INR 5K - 10K
1184,0,0.6,1,1,0,50,0.1,158,2,8,543,703,2156,13,6,6,1,1,1,INR 5K - 10K
575,1,0.5,0,11,0,9,0.5,150,5,15,467,675,2637,8,4,3,1,0,0,INR 10K - 15K
1473,1,2.3,0,0,0,21,0.7,104,8,1,875,925,331,11,8,7,1,0,0,Less Than INR 5K
1869,0,1.2,1,1,1,22,1,125,3,6,1116,1724,1214,12,5,16,1,1,0,INR 5K - 10K
1376,1,0.5,0,9,0,3,0.8,196,7,15,1325,1945,2248,19,3,15,1,1,1,INR 10K - 15K
882,1,1.3,1,0,0,36,0.4,196,5,14,1313,1331,3073,19,1,8,1,1,1,Above 15K
1743,1,1.2,1,7,1,8,0.6,134,7,8,552,1802,422,7,6,15,1,0,0,Less Than INR 5K
1226,1,0.8,0,5,0,12,0.5,102,3,14,335,679,2293,5,1,2,0,1,0,INR 5K - 10K
1971,1,1.9,1,9,1,2,0.7,103,1,14,50,1105,3958,12,2,19,1,1,0,Above 15K
1187,1,0.5,1,1,1,29,0.7,130,1,14,593,1327,432,6,1,10,1,1,1,Less Than INR 5K
1763,1,0.5,1,3,1,48,0.1,120,8,12,268,1010,1152,8,3,3,1,0,0,Less Than INR 5K
1732,1,2,1,0,1,26,0.5,118,6,2,382,1364,1303,8,4,2,1,0,1,Less Than INR 5K
853,0,3,0,4,1,20,0.3,169,2,6,443,892,797,6,1,11,1,1,0,Less Than INR 5K
849,1,0.5,0,2,1,40,0.9,179,8,17,576,884,298,8,2,17,1,1,0,Less Than INR 5K
1576,0,2.9,0,2,0,20,0.4,147,6,7,596,679,3847,8,0,12,1,0,1,Above 15K
1555,0,1,0,1,0,64,0.5,160,3,6,115,636,2110,18,9,6,1,1,1,INR 5K - 10K
1973,1,0.5,1,5,1,43,0.9,176,3,7,356,1407,1921,9,2,3,1,1,0,INR 10K - 15K
828,0,0.7,1,6,0,60,0.1,107,2,15,10,1567,2423,17,11,6,1,0,0,INR 10K - 15K
1064,1,0.5,1,0,1,15,1,132,2,0,1399,1684,1658,15,9,20,1,1,1,INR 10K - 15K
1696,1,0.5,1,2,0,21,0.4,160,8,4,68,584,2361,17,8,7,1,0,0,INR 5K - 10K
1344,0,0.7,0,7,0,60,0.1,157,4,10,643,790,1380,14,5,14,1,0,0,INR 5K - 10K
835,1,1.4,1,4,1,4,0.5,163,6,18,809,1988,3892,5,1,4,1,1,1,Above 15K
596,0,1.8,1,5,1,8,0.8,160,5,9,683,1349,315,7,6,20,1,0,0,Less Than INR 5K
1082,1,1.5,1,4,1,36,0.3,151,4,16,56,527,2289,10,2,19,1,1,1,INR 5K - 10K
912,0,2.5,1,0,1,11,0.2,185,7,20,492,818,2182,7,3,17,1,1,0,INR 10K - 15K
845,0,2.8,1,7,0,23,0.1,105,6,18,699,1492,2184,13,9,20,1,0,1,INR 10K - 15K
1336,1,1.6,0,0,0,48,0.5,92,8,2,290,804,2872,7,2,11,1,0,1,Above 15K
1884,1,0.6,1,9,1,35,0.2,87,6,17,23,826,2367,5,3,15,1,0,1,INR 5K - 10K
1129,0,1.5,0,7,0,3,0.9,155,4,10,394,849,1919,12,10,20,1,1,0,INR 5K - 10K
